0,1
PDF,9
International ,1
Assets ,2
Aber ich denke ,1
Celular,1
Auto,1
api/sparql,280
RDF,210
meta/void,76
,137
application/octet-stream,16
text/xml,4
ttl,21
application/x-gzip,2
ZIP,11
meta/rdf-schema,59
text/turtle,87
"RDF/XML, HTML, JSON",1
application/x-ntriples,9
mapping/owl,8
image,1
HTML,101
"XML, JSON, RDF",1
CSV,97
application/n-triples,21
api/linked-data,1
text/html; charset=UTF-8,13
text/html,6
"XML, JSON, TTL, CSV.",3
application/rdf+xml,12
application/Id+json,1
application/rdf+xml;charset=utf-8,1
MIME type,3
rdf/turtle,21
api,14
application/csv,2
JSON,22
application/ld+json,3
application/x-nquads,2
rdf/n3,7
meta/sitemap,17
biopax,1
GZ,7
application/rdf+xml; charset=UTF-8,1
TXT,13
XLS,7
linked data,2
json-ld,12
void,13
hydra,11
xhtml,1
text/html;charset=UTF-8,5
XLSX,16
HTML/RDF,2
text/html; charset=utf-8,11
"Jpg, PNG, MP3 and webm",1
application/x-xz,1
application/trig,6
meta/rdf+schema,1
gzip:ntriples,2
text/turtle; charset=UTF-8,6
application/trig; charset=utf-8,2
SQL,2
website,2
api/search,7
PNG,3
Atom Feed,1
RDF TriG,2
zip:xls,1
text/trig,1
ttl.bz2,1
gdocs/spreadsheet,2
ttl.bzip2,1
data,37
paper,29
code,6
XML,17
application/rdf+json,1
application/trix,1
application/x-trig,2
application/x-turtle,2
application/xhtml+xml,1
text/n3,6
text/rdf+n3,4
snorql,1
"HTML, JSON-LD, TTL, RDF/XML",2
application/ld+json; charset=UTF-8,2
application/fhir+turtle,1
application/sparql-results+xml||text/rdf+n3||text/rdf+ttl||text/rdf+turtle||text/turtle||text/n3||application/turtle||application/x-turtle||application/rdf+xm,1
gzip::nquads,2
OWL,7
OL,1
ISO-TimeML,1
srbgd,1
mp3,1
model,5
Document,4
"owl, ontology, meta/owl",3
"application/n-triples, application/zip",2
BIN,9
php,1
application/zip,9
..,1
api/sparql ,1
ttl:e1:csv,1
TTL,1
.zip,1
xtm,1
n-triples,6
n-triple,1
application/pdf,2
sparql endpoint,3
rdf+xml ,1
application/ntriples,1
text/turtle; charset=utf-8,4
ntriples,1
turtle,6
RSS,2
Journal Article,1
nt.tar.gz,2
application/rdf+xml;charset=UTF-8,2
application/x-turtle;charset=UTF-8,2
text/plain;charset=UTF-8,2
application/ld+json;charset=UTF-8,2
url,1
nt,4
application/x-bzip,1
hdt,2
SPARQL,3
nt.tar.bz2,3
text/rdf+ttl,2
Software,1
JSON-LD,2
application/ods,1
SPARQL endpoint,1
application/ld+json;charset=utf-8,1
application/json,2
JAR,1
-,1
sql,3
N-Triples,9
Turtle,2
.tar.gz,10
compressed tarfile containing n-triples,1
application/json+ld;charset=UTF-8,1
sparql/json,1
media,1
MIME Type,1
application/rdfs,1
application/rdf xml,1
"HTML, XML, XML+XSLT",1
link,1
Healer ,1
gz:ttl,1
gz:ttl:owl,1
http://www.semanticweb.org/jaime/ontologies/2022/0/untitled-ontology-3,1
tar.gz,1
xml/rdf,1
.txt,2
application/vnd.rar,2
text/plain,2
rdf/provenance,1
rdf/dcat,1
rdf/license,1
KML,1
email,1
rdf (gzipped),1
text/ntriples,1
rdf/xml,1
api/git,1
ply,1
MS Access,1
